frame_id,kp_name,kp_index,x_2d,y_2d
0,nose,0,1066.3057,684.31006
0,left_eye,1,1195.349,556.9214
0,right_eye,2,982.32733,575.11035
0,left_ear,3,NaN,NaN
0,right_ear,4,904.2592,620.0868
0,left_shoulder,5,NaN,NaN
0,right_shoulder,6,NaN,NaN
0,left_elbow,7,NaN,NaN
0,right_elbow,8,NaN,NaN
0,left_wrist,9,NaN,NaN
0,right_wrist,10,NaN,NaN
0,left_hip,11,NaN,NaN
0,right_hip,12,NaN,NaN
0,left_knee,13,NaN,NaN
0,right_knee,14,NaN,NaN
0,left_ankle,15,NaN,NaN
0,right_ankle,16,NaN,NaN
1,nose,0,1140.6213,753.1707
1,left_eye,1,1264.8069,615.92505
1,right_eye,2,1048.1514,610.62177
1,left_ear,3,NaN,NaN
1,right_ear,4,936.38635,612.3931
1,left_shoulder,5,NaN,NaN
1,right_shoulder,6,NaN,NaN
1,left_elbow,7,NaN,NaN
1,right_elbow,8,NaN,NaN
1,left_wrist,9,NaN,NaN
1,right_wrist,10,NaN,NaN
1,left_hip,11,NaN,NaN
1,right_hip,12,NaN,NaN
1,left_knee,13,NaN,NaN
1,right_knee,14,NaN,NaN
1,left_ankle,15,NaN,NaN
1,right_ankle,16,NaN,NaN
2,nose,0,1141.6123,753.87164
2,left_eye,1,1264.7207,615.77716
2,right_eye,2,1047.5696,611.62195
2,left_ear,3,NaN,NaN
2,right_ear,4,934.1099,612.5057
2,left_shoulder,5,NaN,NaN
2,right_shoulder,6,NaN,NaN
2,left_elbow,7,NaN,NaN
2,right_elbow,8,NaN,NaN
2,left_wrist,9,NaN,NaN
2,right_wrist,10,NaN,NaN
2,left_hip,11,NaN,NaN
2,right_hip,12,NaN,NaN
2,left_knee,13,NaN,NaN
2,right_knee,14,NaN,NaN
2,left_ankle,15,NaN,NaN
2,right_ankle,16,NaN,NaN
3,nose,0,1142.1445,754.8827
3,left_eye,1,1264.5726,615.8321
3,right_eye,2,1047.5819,612.26025
3,left_ear,3,NaN,NaN
3,right_ear,4,934.2026,613.6225
3,left_shoulder,5,NaN,NaN
3,right_shoulder,6,NaN,NaN
3,left_elbow,7,NaN,NaN
3,right_elbow,8,NaN,NaN
3,left_wrist,9,NaN,NaN
3,right_wrist,10,NaN,NaN
3,left_hip,11,NaN,NaN
3,right_hip,12,NaN,NaN
3,left_knee,13,NaN,NaN
3,right_knee,14,NaN,NaN
3,left_ankle,15,NaN,NaN
3,right_ankle,16,NaN,NaN
4,nose,0,1142.1655,754.8073
4,left_eye,1,1264.7916,616.7918
4,right_eye,2,1047.8422,612.2238
4,left_ear,3,NaN,NaN
4,right_ear,4,933.62646,611.6285
4,left_shoulder,5,NaN,NaN
4,right_shoulder,6,NaN,NaN
4,left_elbow,7,NaN,NaN
4,right_elbow,8,NaN,NaN
4,left_wrist,9,NaN,NaN
4,right_wrist,10,NaN,NaN
4,left_hip,11,NaN,NaN
4,right_hip,12,NaN,NaN
4,left_knee,13,NaN,NaN
4,right_knee,14,NaN,NaN
4,left_ankle,15,NaN,NaN
4,right_ankle,16,NaN,NaN
5,nose,0,1141.8544,754.7101
5,left_eye,1,1264.5586,616.6227
5,right_eye,2,1047.6881,612.8797
5,left_ear,3,NaN,NaN
5,right_ear,4,934.2281,613.3319
5,left_shoulder,5,NaN,NaN
5,right_shoulder,6,NaN,NaN
5,left_elbow,7,NaN,NaN
5,right_elbow,8,NaN,NaN
5,left_wrist,9,NaN,NaN
5,right_wrist,10,NaN,NaN
5,left_hip,11,NaN,NaN
5,right_hip,12,NaN,NaN
5,left_knee,13,NaN,NaN
5,right_knee,14,NaN,NaN
5,left_ankle,15,NaN,NaN
5,right_ankle,16,NaN,NaN
6,nose,0,1141.3977,755.29425
6,left_eye,1,1265.392,616.58685
6,right_eye,2,1047.43,613.0253
6,left_ear,3,NaN,NaN
6,right_ear,4,934.8921,614.07794
6,left_shoulder,5,NaN,NaN
6,right_shoulder,6,NaN,NaN
6,left_elbow,7,NaN,NaN
6,right_elbow,8,NaN,NaN
6,left_wrist,9,NaN,NaN
6,right_wrist,10,NaN,NaN
6,left_hip,11,NaN,NaN
6,right_hip,12,NaN,NaN
6,left_knee,13,NaN,NaN
6,right_knee,14,NaN,NaN
6,left_ankle,15,NaN,NaN
6,right_ankle,16,NaN,NaN
7,nose,0,1140.4261,755.6167
7,left_eye,1,1265.1396,618.4132
7,right_eye,2,1047.0161,613.52747
7,left_ear,3,NaN,NaN
7,right_ear,4,933.7259,615.19385
7,left_shoulder,5,NaN,NaN
7,right_shoulder,6,NaN,NaN
7,left_elbow,7,NaN,NaN
7,right_elbow,8,NaN,NaN
7,left_wrist,9,NaN,NaN
7,right_wrist,10,NaN,NaN
7,left_hip,11,NaN,NaN
7,right_hip,12,NaN,NaN
7,left_knee,13,NaN,NaN
7,right_knee,14,NaN,NaN
7,left_ankle,15,NaN,NaN
7,right_ankle,16,NaN,NaN
8,nose,0,1139.8774,755.72906
8,left_eye,1,1263.9535,617.4546
8,right_eye,2,1046.2885,613.39343
8,left_ear,3,NaN,NaN
8,right_ear,4,933.91876,614.4701
8,left_shoulder,5,NaN,NaN
8,right_shoulder,6,NaN,NaN
8,left_elbow,7,NaN,NaN
8,right_elbow,8,NaN,NaN
8,left_wrist,9,NaN,NaN
8,right_wrist,10,NaN,NaN
8,left_hip,11,NaN,NaN
8,right_hip,12,NaN,NaN
8,left_knee,13,NaN,NaN
8,right_knee,14,NaN,NaN
8,left_ankle,15,NaN,NaN
8,right_ankle,16,NaN,NaN
9,nose,0,1139.6671,755.2092
9,left_eye,1,1263.2803,617.78436
9,right_eye,2,1046.4714,613.6699
9,left_ear,3,NaN,NaN
9,right_ear,4,934.07916,614.3942
9,left_shoulder,5,NaN,NaN
9,right_shoulder,6,NaN,NaN
9,left_elbow,7,NaN,NaN
9,right_elbow,8,NaN,NaN
9,left_wrist,9,NaN,NaN
9,right_wrist,10,NaN,NaN
9,left_hip,11,NaN,NaN
9,right_hip,12,NaN,NaN
9,left_knee,13,NaN,NaN
9,right_knee,14,NaN,NaN
9,left_ankle,15,NaN,NaN
9,right_ankle,16,NaN,NaN
10,nose,0,1139.376,754.92096
10,left_eye,1,1263.4587,618.54114
10,right_eye,2,1046.2585,613.75476
10,left_ear,3,NaN,NaN
10,right_ear,4,932.88794,615.6582
10,left_shoulder,5,NaN,NaN
10,right_shoulder,6,NaN,NaN
10,left_elbow,7,NaN,NaN
10,right_elbow,8,NaN,NaN
10,left_wrist,9,NaN,NaN
10,right_wrist,10,NaN,NaN
10,left_hip,11,NaN,NaN
10,right_hip,12,NaN,NaN
10,left_knee,13,NaN,NaN
10,right_knee,14,NaN,NaN
10,left_ankle,15,NaN,NaN
10,right_ankle,16,NaN,NaN
11,nose,0,1138.4858,755.6921
11,left_eye,1,1263.1364,617.84393
11,right_eye,2,1045.2544,615.2629
11,left_ear,3,NaN,NaN
11,right_ear,4,934.86066,617.34875
11,left_shoulder,5,NaN,NaN
11,right_shoulder,6,NaN,NaN
11,left_elbow,7,NaN,NaN
11,right_elbow,8,NaN,NaN
11,left_wrist,9,NaN,NaN
11,right_wrist,10,NaN,NaN
11,left_hip,11,NaN,NaN
11,right_hip,12,NaN,NaN
11,left_knee,13,NaN,NaN
11,right_knee,14,NaN,NaN
11,left_ankle,15,NaN,NaN
11,right_ankle,16,NaN,NaN
12,nose,0,1137.0813,753.6562
12,left_eye,1,1262.2,617.97327
12,right_eye,2,1044.6022,614.34845
12,left_ear,3,NaN,NaN
12,right_ear,4,933.61224,616.3085
12,left_shoulder,5,NaN,NaN
12,right_shoulder,6,NaN,NaN
12,left_elbow,7,NaN,NaN
12,right_elbow,8,NaN,NaN
12,left_wrist,9,NaN,NaN
12,right_wrist,10,NaN,NaN
12,left_hip,11,NaN,NaN
12,right_hip,12,NaN,NaN
12,left_knee,13,NaN,NaN
12,right_knee,14,NaN,NaN
12,left_ankle,15,NaN,NaN
12,right_ankle,16,NaN,NaN
13,nose,0,1132.324,751.4375
13,left_eye,1,1257.4109,616.84796
13,right_eye,2,1041.0009,614.1232
13,left_ear,3,NaN,NaN
13,right_ear,4,932.7544,620.18225
13,left_shoulder,5,NaN,NaN
13,right_shoulder,6,NaN,NaN
13,left_elbow,7,NaN,NaN
13,right_elbow,8,NaN,NaN
13,left_wrist,9,NaN,NaN
13,right_wrist,10,NaN,NaN
13,left_hip,11,NaN,NaN
13,right_hip,12,NaN,NaN
13,left_knee,13,NaN,NaN
13,right_knee,14,NaN,NaN
13,left_ankle,15,NaN,NaN
