frame_id,kp_name,kp_index,x_2d,y_2d
0,Pelvis,0,NaN,NaN
0,RHip,1,NaN,NaN
0,RKnee,2,NaN,NaN
0,RAnkle,3,NaN,NaN
0,LHip,4,NaN,NaN
0,LKnee,5,NaN,NaN
0,LAnkle,6,NaN,NaN
0,Spine1,7,NaN,NaN
0,Neck,8,NaN,NaN
0,Head,9,NaN,NaN
0,Site,10,NaN,NaN
0,LShoulder,11,NaN,NaN
0,LElbow,12,NaN,NaN
0,LWrist,13,NaN,NaN
0,RShoulder,14,NaN,NaN
0,RElbow,15,NaN,NaN
0,RWrist,16,NaN,NaN
1,Pelvis,0,NaN,NaN
1,RHip,1,NaN,NaN
1,RKnee,2,NaN,NaN
1,RAnkle,3,NaN,NaN
1,LHip,4,NaN,NaN
1,LKnee,5,NaN,NaN
1,LAnkle,6,NaN,NaN
1,Spine1,7,NaN,NaN
1,Neck,8,NaN,NaN
1,Head,9,NaN,NaN
1,Site,10,NaN,NaN
1,LShoulder,11,NaN,NaN
1,LElbow,12,NaN,NaN
1,LWrist,13,NaN,NaN
1,RShoulder,14,NaN,NaN
1,RElbow,15,NaN,NaN
1,RWrist,16,NaN,NaN
2,Pelvis,0,NaN,NaN
2,RHip,1,NaN,NaN
2,RKnee,2,NaN,NaN
2,RAnkle,3,NaN,NaN
2,LHip,4,NaN,NaN
2,LKnee,5,NaN,NaN
2,LAnkle,6,NaN,NaN
2,Spine1,7,NaN,NaN
2,Neck,8,NaN,NaN
2,Head,9,NaN,NaN
2,Site,10,NaN,NaN
2,LShoulder,11,NaN,NaN
2,LElbow,12,NaN,NaN
2,LWrist,13,NaN,NaN
2,RShoulder,14,NaN,NaN
2,RElbow,15,NaN,NaN
2,RWrist,16,NaN,NaN
3,Pelvis,0,NaN,NaN
3,RHip,1,NaN,NaN
3,RKnee,2,NaN,NaN
3,RAnkle,3,NaN,NaN
3,LHip,4,NaN,NaN
3,LKnee,5,NaN,NaN
3,LAnkle,6,NaN,NaN
3,Spine1,7,NaN,NaN
3,Neck,8,NaN,NaN
3,Head,9,NaN,NaN
3,Site,10,NaN,NaN
3,LShoulder,11,NaN,NaN
3,LElbow,12,NaN,NaN
3,LWrist,13,NaN,NaN
3,RShoulder,14,NaN,NaN
3,RElbow,15,NaN,NaN
3,RWrist,16,NaN,NaN
4,Pelvis,0,NaN,NaN
4,RHip,1,NaN,NaN
4,RKnee,2,NaN,NaN
4,RAnkle,3,NaN,NaN
4,LHip,4,NaN,NaN
4,LKnee,5,NaN,NaN
4,LAnkle,6,NaN,NaN
4,Spine1,7,NaN,NaN
4,Neck,8,NaN,NaN
4,Head,9,NaN,NaN
4,Site,10,NaN,NaN
4,LShoulder,11,NaN,NaN
4,LElbow,12,NaN,NaN
4,LWrist,13,NaN,NaN
4,RShoulder,14,NaN,NaN
4,RElbow,15,NaN,NaN
4,RWrist,16,NaN,NaN
5,Pelvis,0,NaN,NaN
5,RHip,1,NaN,NaN
5,RKnee,2,NaN,NaN
5,RAnkle,3,NaN,NaN
5,LHip,4,NaN,NaN
5,LKnee,5,NaN,NaN
5,LAnkle,6,NaN,NaN
5,Spine1,7,NaN,NaN
5,Neck,8,NaN,NaN
5,Head,9,NaN,NaN
5,Site,10,NaN,NaN
5,LShoulder,11,NaN,NaN
5,LElbow,12,NaN,NaN
5,LWrist,13,NaN,NaN
5,RShoulder,14,NaN,NaN
5,RElbow,15,NaN,NaN
5,RWrist,16,NaN,NaN
6,Pelvis,0,NaN,NaN
6,RHip,1,NaN,NaN
6,RKnee,2,NaN,NaN
6,RAnkle,3,NaN,NaN
6,LHip,4,NaN,NaN
6,LKnee,5,NaN,NaN
6,LAnkle,6,NaN,NaN
6,Spine1,7,NaN,NaN
6,Neck,8,NaN,NaN
6,Head,9,NaN,NaN
6,Site,10,NaN,NaN
6,LShoulder,11,NaN,NaN
6,LElbow,12,NaN,NaN
6,LWrist,13,NaN,NaN
6,RShoulder,14,NaN,NaN
6,RElbow,15,NaN,NaN
6,RWrist,16,NaN,NaN
7,Pelvis,0,NaN,NaN
7,RHip,1,NaN,NaN
7,RKnee,2,NaN,NaN
7,RAnkle,3,NaN,NaN
7,LHip,4,NaN,NaN
7,LKnee,5,NaN,NaN
7,LAnkle,6,NaN,NaN
7,Spine1,7,NaN,NaN
7,Neck,8,NaN,NaN
7,Head,9,NaN,NaN
7,Site,10,NaN,NaN
7,LShoulder,11,NaN,NaN
7,LElbow,12,NaN,NaN
7,LWrist,13,NaN,NaN
7,RShoulder,14,NaN,NaN
7,RElbow,15,NaN,NaN
7,RWrist,16,NaN,NaN
8,Pelvis,0,NaN,NaN
8,RHip,1,NaN,NaN
